,Ids,Coordinates,CommonName,Line,ClosenessCentrality
132,940GZZLUWAF,"[-0.417377],[51.657446]",Watford Underground Station,metropolitan,0.333333333333
133,940GZZLUWHW,"[-0.3534],[51.57971]",West Harrow Underground Station,metropolitan,0.0309278350515
134,940GZZLUWIG,"[-0.221537],[51.549146]",Willesden Green Underground Station,metropolitan,0.0443131462334
135,940GZZLUWYP,"[-0.279262],[51.563198]",Wembley Park Underground Station,metropolitan,0.0396144196488
136,940GZZLUACT,"[-0.280462],[51.503057]",Acton Town Underground Station,district,0.0348472528749
137,940GZZLUADE,"[-0.072384],[51.515037]",Aldgate East Underground Station,district,0.0477326968974
138,940GZZLUBBB,"[-0.011538],[51.524839]",Bromley-by-Bow Underground Station,district,0.0411805078929
139,940GZZLUBEC,"[0.127016],[51.540331]",Becontree Underground Station,district,0.027014858172
140,940GZZLUBKF,"[-0.103659],[51.511581]",Blackfriars Underground Station,district,0.0480538202787
141,940GZZLUBKG,"[0.081053],[51.539321]",Barking Underground Station,district,0.0310302027307
142,940GZZLUBSC,"[-0.213427],[51.490311]",Barons Court Underground Station,district,0.0441631090829
143,940GZZLUBWR,"[-0.025128],[51.52694]",Bow Road Underground Station,district,0.0441176470588
144,940GZZLUBWT,"[-0.187938],[51.512284]",Bayswater Underground Station,district,0.0514668039115
145,940GZZLUCST,"[-0.090432],[51.51151]",Cannon Street Underground Station,district,0.0462249614792
146,940GZZLUCWP,"[-0.267972],[51.494627]",Chiswick Park Underground Station,district,0.0363416111448
147,940GZZLUDGE,"[0.166017],[51.544096]",Dagenham East Underground Station,district,0.0244598450876
148,940GZZLUDGY,"[0.147527],[51.541639]",Dagenham Heathway Underground Station,district,0.0256783360438
149,940GZZLUEBY,"[-0.301457],[51.515017]",Ealing Broadway Underground Station,district,0.035701535166
150,940GZZLUECM,"[-0.288265],[51.51014]",Ealing Common Underground Station,district,0.0339328130302
151,940GZZLUECT,"[-0.193378],[51.492063]",Earl's Court Underground Station,district,0.048527984471
152,940GZZLUEHM,"[0.051186],[51.538948]",East Ham Underground Station,district,0.0340020401224
153,940GZZLUEMB,"[-0.122666],[51.507058]",Embankment Underground Station,district,0.0573394495413
154,940GZZLUEPK,"[0.19864],[51.549775]",Elm Park Underground Station,district,0.022824102252
155,940GZZLUEPY,"[-0.211],[51.459205]",East Putney Underground Station,district,0.0320068281233
156,940GZZLUERC,"[-0.167832],[51.519858]",Edgware Road (Circle Line) Underground Station,district,0.0538793103448
157,940GZZLUFBY,"[-0.195422],[51.480081]",Fulham Broadway Underground Station,district,0.0393339451947
158,940GZZLUGBY,"[-0.275267],[51.491803]",Gunnersbury Underground Station,district,0.0348355943895
159,940GZZLUGTR,"[-0.182658],[51.494316]",Gloucester Road Underground Station,district,0.0521557719054
160,940GZZLUHCH,"[0.219116],[51.554093]",Hornchurch Underground Station,district,0.0218435998253
161,940GZZLUHSD,"[-0.22362],[51.4923]",Hammersmith (Dist&Picc Line) Underground Station,district,0.0431530494822
162,940GZZLUHSK,"[-0.192792],[51.501055]",High Street Kensington Underground Station,district,0.0501756146513
163,940GZZLUKOY,"[-0.210015],[51.497624]",Kensington (Olympia) Underground Station,district,0.0407527755213
164,940GZZLUKWG,"[-0.285241],[51.477058]",Kew Gardens Underground Station,district,0.0325876532588
165,940GZZLUMED,"[-0.03364],[51.525122]",Mile End Underground Station,district,0.0458085203848
166,940GZZLUMMT,"[-0.085969],[51.5107]",Monument Underground Station,district,0.0453103760761
167,940GZZLUMSH,"[-0.094009],[51.512117]",Mansion House Underground Station,district,0.0473634354278
168,940GZZLUNHG,"[-0.196104],[51.509128]",Notting Hill Gate Underground Station,district,0.0534950071327
169,940GZZLUPAC,"[-0.175689],[51.516581]",Paddington Underground Station,district,0.0547545172477
170,940GZZLUPLW,"[0.017451],[51.531341]",Plaistow Underground Station,district,0.0388550705867
171,940GZZLUPSG,"[-0.20117],[51.475277]",Parsons Green Underground Station,district,0.036563071298
172,940GZZLUPYB,"[-0.208731],[51.468262]",Putney Bridge Underground Station,district,0.034141345169
173,940GZZLURMD,"[-0.301336],[51.463237]",Richmond Underground Station,district,0.0296971478977
174,940GZZLURVP,"[-0.235881],[51.494122]",Ravenscourt Park Underground Station,district,0.0407221392697
175,940GZZLUSFB,"[-0.245704],[51.494917]",Stamford Brook Underground Station,district,0.0395987328405
176,940GZZLUSFS,"[-0.206602],[51.445073]",Southfields Underground Station,district,0.0301114122252
177,940GZZLUSGN,"[-0.046596],[51.521858]",Stepney Green Underground Station,district,0.0423549343499
178,940GZZLUSJP,"[-0.133608],[51.499544]",St. James's Park Underground Station,district,0.0558867362146
179,940GZZLUSKS,"[-0.174138],[51.494094]",South Kensington Underground Station,district,0.0524658971668
180,940GZZLUSSQ,"[-0.156377],[51.49227]",Sloane Square Underground Station,district,0.0554426168915
181,940GZZLUTMP,"[-0.11426],[51.511006]",Temple Underground Station,district,0.0520201144443
182,940GZZLUTNG,"[-0.254555],[51.495148]",Turnham Green Underground Station,district,0.0385257480416
183,940GZZLUTWH,"[-0.076546],[51.509971]",Tower Hill Underground Station,district,0.0455097087379
184,940GZZLUUPB,"[0.235809],[51.55856]",Upminster Bridge Underground Station,district,0.0209380234506
185,940GZZLUUPK,"[0.035263],[51.53534]",Upton Park Underground Station,district,0.0362800822349
186,940GZZLUUPM,"[0.250882],[51.559063]",Upminster Underground Station,district,0.0200991558355
187,940GZZLUUPY,"[0.10153],[51.538372]",Upney Underground Station,district,0.0284873231412
188,940GZZLUVIC,"[-0.143102],[51.496359]",Victoria Underground Station,district,0.0596658711217
189,940GZZLUWBN,"[-0.195599],[51.487268]",West Brompton Underground Station,district,0.0425350914504
190,940GZZLUWHM,"[0.005055],[51.528136]",West Ham Underground Station,district,0.0402576489533
191,940GZZLUWIM,"[-0.206573],[51.421207]",Wimbledon Underground Station,district,0.0268961807423
192,940GZZLUWIP,"[-0.199719],[51.434573]",Wimbledon Park Underground Station,district,0.028417163967
193,940GZZLUWKN,"[-0.206636],[51.490459]",West Kensington Underground Station,district,0.0438660622898
194,940GZZLUWPL,"[-0.059971],[51.519518]",Whitechapel Underground Station,district,0.0448900194523
195,940GZZLUWSM,"[-0.124861],[51.50132]",Westminster Underground Station,district,0.0589159465829
196,940GZZLUADE,"[-0.072384],[51.515037]",Aldgate East Underground Station,hammersmith-city,0.0477326968974
197,940GZZLUBBB,"[-0.011538],[51.524839]",Bromley-by-Bow Underground Station,hammersmith-city,0.0411805078929
198,940GZZLUBBN,"[-0.097993],[51.520275]",Barbican Underground Station,hammersmith-city,0.0535427449581
199,940GZZLUBKG,"[0.081053],[51.539321]",Barking Underground Station,hammersmith-city,0.0310302027307
200,940GZZLUBST,"[-0.15713],[51.522883]",Baker Street Underground Station,hammersmith-city,0.0594059405941
201,940GZZLUBWR,"[-0.025128],[51.52694]",Bow Road Underground Station,hammersmith-city,0.0441176470588
202,940GZZLUEHM,"[0.051186],[51.538948]",East Ham Underground Station,hammersmith-city,0.0340020401224
203,940GZZLUERC,"[-0.167832],[51.519858]",Edgware Road (Circle Line) Underground Station,hammersmith-city,0.0538793103448
204,940GZZLUESQ,"[-0.135829],[51.525604]",Euston Square Underground Station,hammersmith-city,0.0565610859729
205,940GZZLUFCN,"[-0.104913],[51.520252]",Farringdon Underground Station,hammersmith-city,0.0543379822496
206,940GZZLUGHK,"[-0.226715],[51.502005]",Goldhawk Road Underground Station,hammersmith-city,0.0348108609886
207,940GZZLUGPS,"[-0.144262],[51.52384]",Great Portland Street Underground Station,hammersmith-city,0.0572300648607
208,940GZZLUHSC,"[-0.225013],[51.493535]",Hammersmith (H&C Line) Underground Station,hammersmith-city,0.0336587007742
209,940GZZLUKSX,"[-0.123194],[51.530663]",King's Cross St. Pancras Underground Station,hammersmith-city,0.0594766058684
210,940GZZLULAD,"[-0.210391],[51.517449]",Ladbroke Grove Underground Station,hammersmith-city,0.0401606425703
211,940GZZLULRD,"[-0.217799],[51.513389]",Latimer Road Underground Station,hammersmith-city,0.0387046832667
212,940GZZLULVT,"[-0.083182],[51.517372]",Liverpool Street Underground Station,hammersmith-city,0.0538793103448
213,940GZZLUMED,"[-0.03364],[51.525122]",Mile End Underground Station,hammersmith-city,0.0458085203848
214,940GZZLUMGT,"[-0.088322],[51.518176]",Moorgate Underground Station,hammersmith-city,0.0543872371284
215,940GZZLUPAH,"[-0.178306],[51.518187]",Paddington (H&C Line)-Underground,hammersmith-city,0.0470145745181
216,940GZZLUPLW,"[0.017451],[51.531341]",Plaistow Underground Station,hammersmith-city,0.0388550705867
217,940GZZLURYO,"[-0.188748],[51.519113]",Royal Oak Underground Station,hammersmith-city,0.0432588320115
218,940GZZLUSBM,"[-0.226375],[51.505579]",Shepherd's Bush Market Underground Station,hammersmith-city,0.036036036036
219,940GZZLUSGN,"[-0.046596],[51.521858]",Stepney Green Underground Station,hammersmith-city,0.0423549343499
220,940GZZLUUPK,"[0.035263],[51.53534]",Upton Park Underground Station,hammersmith-city,0.0362800822349
221,940GZZLUWHM,"[0.005055],[51.528136]",West Ham Underground Station,hammersmith-city,0.0402576489533
222,940GZZLUWLA,"[-0.22453],[51.509669]",Wood Lane Underground Station,hammersmith-city,0.0373320059731
223,940GZZLUWPL,"[-0.059971],[51.519518]",Whitechapel Underground Station,hammersmith-city,0.0448900194523
224,940GZZLUWSP,"[-0.201065],[51.52111]",Westbourne Park Underground Station,hammersmith-city,0.0417072153483
225,940GZZLUACT,"[-0.280462],[51.503057]",Acton Town Underground Station,piccadilly,0.0348472528749
226,940GZZLUALP,"[-0.29961],[51.540627]",Alperton Underground Station,piccadilly,0.0292483182217
227,940GZZLUASG,"[-0.133062],[51.616446]",Arnos Grove Underground Station,piccadilly,0.0322893122376
228,940GZZLUASL,"[-0.107457],[51.558655]",Arsenal Underground Station,piccadilly,0.0467508181393
229,940GZZLUBDS,"[-0.124235],[51.607034]",Bounds Green Underground Station,piccadilly,0.0344313095375
230,940GZZLUBOS,"[-0.324939],[51.495635]",Boston Manor Underground Station,piccadilly,0.0275355667737
231,940GZZLUBSC,"[-0.213427],[51.490311]",Barons Court Underground Station,piccadilly,0.0441631090829
232,940GZZLUCAR,"[-0.118493],[51.548519]",Caledonian Road Underground Station,piccadilly,0.0510464522716
233,940GZZLUCGN,"[-0.124436],[51.513093]",Covent Garden Underground Station,piccadilly,0.0579598145286
234,940GZZLUCKS,"[-0.149171],[51.65152]",Cockfosters Underground Station,piccadilly,0.0250815149235
235,940GZZLUEAE,"[-0.397373],[51.576506]",Eastcote Underground Station,piccadilly,0.0275052718438
236,940GZZLUECM,"[-0.288265],[51.51014]",Ealing Common Underground Station,piccadilly,0.0339328130302
237,940GZZLUECT,"[-0.193378],[51.492063]",Earl's Court Underground Station,piccadilly,0.048527984471
238,940GZZLUFPK,"[-0.106825],[51.564158]",Finsbury Park Underground Station,piccadilly,0.0490035935969
239,940GZZLUGPK,"[-0.142787],[51.506947]",Green Park Underground Station,piccadilly,0.0614628149969
240,940GZZLUGTR,"[-0.182658],[51.494316]",Gloucester Road Underground Station,piccadilly,0.0521557719054
241,940GZZLUHBN,"[-0.120475],[51.51758]",Holborn Underground Station,piccadilly,0.0600841177649
