,Latitude,Longitude
66,51.4583689753,-0.472509493704
67,51.4583845005,-0.472596781743
68,51.4584291467,-0.472848634457
69,51.4584782679,-0.473098898858
70,51.4585300664,-0.473347635
71,51.4585338679,-0.473363342136
72,51.458542501,-0.473404798221
73,51.458551134,-0.473446254323
74,51.4585597482,-0.473486271612
75,51.4585692801,-0.473527697756
76,51.458579692,-0.473567655098
77,51.458590029,-0.47360185714
78,51.4586040925,-0.47364601106
79,51.4586190174,-0.473687257359
80,51.458633961,-0.473729942517
81,51.4586469758,-0.473762615849
82,51.4586636796,-0.473802363425
83,51.4586812823,-0.473842081046
84,51.4586988849,-0.473881798698
85,51.4587182665,-0.473920017582
86,51.4587376294,-0.473956797664
87,51.4590861969,-0.474483532995
88,51.4595589338,-0.475154404305
89,51.460031535,-0.475884313351
90,51.460554904,-0.476300171741
91,51.4605621696,-0.476305687818
92,51.4605915909,-0.476147800497
93,51.460636069,-0.475903040243
94,51.4606478289,-0.475908406541
95,51.4606487278,-0.475908376596
96,51.4606695511,-0.475919199034
97,51.4606903743,-0.475930021483
98,51.4607112163,-0.475942282839
99,51.4607311781,-0.475956013049
100,51.4607511399,-0.475969743271
101,51.4607702216,-0.475984942349
102,51.4607793223,-0.475993276314
103,51.4608020555,-0.476012672341
104,51.4608248261,-0.476034946191
105,51.4608467165,-0.476058688908
106,51.4608677081,-0.476082461589
107,51.4608887184,-0.476107673196
108,51.4609033432,-0.476125899891
109,51.4609280611,-0.476159625206
110,51.4609519175,-0.476196258309
111,51.4609748751,-0.476232921389
112,51.4609978701,-0.476272462321
113,51.4610190673,-0.476312063168
114,51.4610402646,-0.476351664052
115,51.4610606004,-0.476394172727
116,51.4610800186,-0.476435272465
117,51.46108558,-0.476448043047
118,51.4611106531,-0.476509107982
119,51.461134846,-0.476571641829
120,51.4611572599,-0.476635674518
121,51.4611778947,-0.476701206044
122,51.4611967505,-0.476768236401
123,51.4612156062,-0.476835266813
124,51.4612335817,-0.476903766124
125,51.4612449849,-0.476950891226
126,51.4612650197,-0.477039475608
127,51.461282358,-0.477128149834
128,51.4612978985,-0.477216883969
129,51.4613125774,-0.47730852592
130,51.461324541,-0.477398818762
131,51.4613356244,-0.477490580486
132,51.4613458462,-0.477585250007
133,51.4613551318,-0.477677071644
134,51.4613617207,-0.477768983048
135,51.4613683282,-0.477862333399
136,51.4613722204,-0.477954334576
137,51.4613752323,-0.478047804594
138,51.4613928785,-0.47892245934
139,51.4613844578,-0.479659784868
140,51.461353602,-0.480331636421
141,51.4613083567,-0.481073062703
142,51.4613328745,-0.481299695992
143,51.4613171549,-0.482030064426
144,51.461244562,-0.482187943198
145,51.4612206645,-0.483746314424
146,51.4612260377,-0.484857458392
147,51.4612249404,-0.48498129485
148,51.4612271716,-0.485153965309
149,51.461231219,-0.48532801519
150,51.4612370637,-0.485502005592
151,51.4612430636,-0.485618409434
152,51.461259799,-0.485869774451
153,51.4612810095,-0.486119552014
154,51.4612956744,-0.486280295003
155,51.4613132958,-0.486461093821
156,51.4613344938,-0.486640334919
157,51.4613375061,-0.48666470744
158,51.4613614003,-0.486843859541
159,51.4613870734,-0.487021513452
160,51.4615040492,-0.487584825339
161,51.4616271577,-0.48820551933
162,51.4617354074,-0.488720180624
163,51.4617372979,-0.48872731593
164,51.4617401243,-0.488737299421
165,51.4617420519,-0.488747312606
166,51.4617476862,-0.488765840654
167,51.4617505126,-0.488775824149
168,51.4617524401,-0.488785837339
169,51.4617552665,-0.488795820836
170,51.4617562952,-0.48880586372
171,51.4617582228,-0.488815876913
172,51.4617583526,-0.488825949491
173,51.4617584825,-0.488836022069
174,51.4617553878,-0.488874992208
175,51.4617468815,-0.488912701548
176,51.4617383751,-0.488950410874
177,51.461735864,-0.488964889335
178,51.461730749,-0.488986651557
179,51.4617247352,-0.489008443464
180,51.4617187028,-0.489028796426
181,51.4617126705,-0.489049149384
182,51.4617066566,-0.489070941274
183,51.4617006428,-0.489092733158
184,51.4616964267,-0.489114465663
185,51.4616922105,-0.489136198165
186,51.4616889489,-0.489162217789
187,51.4616866417,-0.489192524538
188,51.4616852149,-0.489221362662
189,51.461683788,-0.489250200785
190,51.4616841774,-0.489280418476
191,51.4616854471,-0.489309167547
192,51.4616867354,-0.489339355558
193,51.4616889039,-0.489368074951
194,51.461691091,-0.489398233285
195,51.4616941584,-0.489426923003
196,51.46169616,-0.489442691962
197,51.4617011178,-0.489478517019
198,51.4617069559,-0.489512873466
199,51.4617146103,-0.489548609505
200,51.4617222461,-0.489582906617
201,51.4617307807,-0.489617174063
202,51.4617401957,-0.489649972907
203,51.4617505095,-0.489682742089
204,51.4617608233,-0.489715511285
205,51.4617655029,-0.489729752315
206,51.461776697,-0.489761052918
207,51.4617888085,-0.489793762805
208,51.4618008829,-0.489823594825
209,51.4618138562,-0.489853397189
210,51.4618277283,-0.489883169897
211,51.4618424993,-0.489912912953
212,51.4618978301,-0.489949954517
213,51.4619832494,-0.490019112856
214,51.4620996376,-0.490118919666
215,51.4621515026,-0.49016615302
216,51.4621752065,-0.490191282855
217,51.4621989289,-0.490217851671
218,51.4622126342,-0.490234674146
219,51.4622345589,-0.490261302336
220,51.4622565206,-0.490290808464
221,51.4622583554,-0.490293627048
222,51.4622647956,-0.490304931052
223,51.4622712544,-0.490317674016
224,51.4622768143,-0.490330446647
225,51.4622823928,-0.490344658238
226,51.4622879527,-0.490357430875
227,51.4622981922,-0.490384444779
228,51.462300064,-0.490390141285
229,51.4623130742,-0.490422822051
230,51.4623251855,-0.490455532497
231,51.4623364164,-0.49048971158
232,51.4623467671,-0.490525359299
233,51.4623571177,-0.490561007034
234,51.4623665694,-0.490596684444
235,51.4623751223,-0.490632391526
236,51.4623827763,-0.490668128279
237,51.4623885585,-0.490698168513
238,51.4626568921,-0.491564580082
239,51.4627870724,-0.491967689783
240,51.4629179678,-0.492216742226
241,51.4629338243,-0.492610666944
242,51.4629352456,-0.492861108577
243,51.46288191,-0.493119112327
244,51.4628243237,-0.493256330294
245,51.4628182167,-0.4932709273
246,51.4628112107,-0.493285553908
247,51.4628032874,-0.493298771142
248,51.462796263,-0.493311958766
249,51.4627909808,-0.493320770249
250,51.462783039,-0.493332548496
251,51.4627742168,-0.493345795319
252,51.4627653762,-0.493357603161
253,51.462756517,-0.493367972025
254,51.4627485382,-0.493376872307
255,51.462740541,-0.493384333613
256,51.4627316448,-0.493391824519
257,51.4627227487,-0.493399315423
258,51.4627129537,-0.493406835927
259,51.4626942441,-0.49342040835
260,51.4626746356,-0.493434010364
261,51.4626550086,-0.493446173396
262,51.4626451951,-0.493452254908
263,51.4626592356,-0.493705158601
264,51.4626685341,-0.493868964582
265,51.4629944897,-0.494042500197
266,51.4633325436,-0.494317851672
267,51.4635791653,-0.494545829845
268,51.4638769419,-0.494906011634
269,51.4641776111,-0.495211397058
270,51.4642578375,-0.495296575303
271,51.4643741843,-0.495393522425
272,51.4645501574,-0.495582085419
273,51.4648067622,-0.495887488979
274,51.4650616424,-0.496198711248
275,51.4654097741,-0.496629243417
276,51.4656821233,-0.49704067702
277,51.4658217921,-0.496992897313
278,51.4658566314,-0.49704502067
279,51.4659844876,-0.497268289582
280,51.4661274444,-0.497547211546
281,51.4663767424,-0.498124979021
282,51.4663703117,-0.498254762838
283,51.4664914724,-0.498517129285
284,51.4666463182,-0.498882050255
285,51.4668082876,-0.499382072664
286,51.46693538,-0.499827093632
287,51.467075242,-0.500356641706
288,51.4671920256,-0.50090998495
289,51.4673077055,-0.50144753017
290,51.4674079777,-0.502116597991
291,51.4675134004,-0.502766783585
292,51.4675182807,-0.502796858194
293,51.4675387188,-0.502918566403
294,51.4675600558,-0.503040245304
295,51.4675804937,-0.503161953738
296,51.4676000326,-0.503283691698
297,51.4676177921,-0.503406927723
298,51.4676328548,-0.503530252075
299,51.4676517711,-0.503744153787
300,51.4676683587,-0.504057473647
301,51.4676804694,-0.504372379854
302,51.4676820659,-0.50442703764
303,51.467691479,-0.504742032218
304,51.4676963787,-0.505055734706
305,51.4677034414,-0.505115972819
