,,,Number of people in each PTAL level:,,,,,,,,,,0,1,2,3,4,5,6,7,8,
E05000093,Kenton,Brent,84,"2,228","3,079","3,340","2,389",803,211,0,0,"12,133",0.0,0.2,0.5,0.8,0.8,0.3,0.1,0.0,0.0,2.7
E05000094,Kilburn,Brent,0,0,0,0,"2,111","6,840","4,999","2,751",0,"16,701",0.0,0.0,0.0,0.0,0.5,2.0,1.8,1.2,0.0,5.5
E05000095,Mapesbury,Brent,0,133,752,"1,524","5,501","4,699","2,777",142,0,"15,529",0.0,0.0,0.1,0.3,1.4,1.5,1.1,0.1,0.0,4.5
E05000096,Northwick Park,Brent,3,"1,319","4,911","5,081",64,828,585,21,0,"12,811",0.0,0.1,0.8,1.2,0.0,0.3,0.3,0.0,0.0,2.7
E05000097,Preston,Brent,0,0,300,"9,619","4,610",846,99,0,0,"15,474",0.0,0.0,0.0,1.9,1.2,0.3,0.0,0.0,0.0,3.4
E05000098,Queens Park,Brent,0,0,0,946,"2,229","7,451","4,604",52,0,"15,281",0.0,0.0,0.0,0.2,0.6,2.4,1.8,0.0,0.0,5.0
E05000099,Queensbury,Brent,0,22,"4,336","7,363","2,658",677,100,0,0,"15,155",0.0,0.0,0.6,1.5,0.7,0.2,0.0,0.0,0.0,3.0
E05000100,Stonebridge,Brent,9,351,"3,438","8,323","2,470","2,078",234,0,0,"16,903",0.0,0.0,0.4,1.5,0.6,0.6,0.1,0.0,0.0,3.2
E05000101,Sudbury,Brent,15,"1,755","2,173","4,839","2,775","2,747",646,0,0,"14,950",0.0,0.1,0.3,1.0,0.7,0.9,0.3,0.0,0.0,3.3
E05000102,Tokyngton,Brent,686,"1,677","1,042","3,387","3,521","3,308","1,043",0,0,"14,664",0.0,0.1,0.1,0.7,1.0,1.1,0.4,0.0,0.0,3.5
E05000103,Welsh Harp,Brent,208,715,"4,220","6,160","2,031",419,0,0,0,"13,753",0.0,0.1,0.6,1.3,0.6,0.2,0.0,0.0,0.0,2.8
E05000104,Wembley Central,Brent,0,289,474,"1,526","2,863","3,509","4,644","1,423",0,"14,727",0.0,0.0,0.1,0.3,0.8,1.2,1.9,0.7,0.0,4.9
E05000105,Willesden Green,Brent,0,0,3,"1,334","5,716","5,978","2,556",0,0,"15,587",0.0,0.0,0.0,0.3,1.5,1.9,1.0,0.0,0.0,4.6
E05000106,Bickley,Bromley,198,"1,756","6,186","6,101",855,2,0,0,0,"15,098",0.0,0.1,0.8,1.2,0.2,0.0,0.0,0.0,0.0,2.4
E05000107,Biggin Hill,Bromley,29,"3,269","5,181","1,472",0,0,0,0,0,"9,951",0.0,0.3,1.0,0.4,0.0,0.0,0.0,0.0,0.0,1.8
E05000108,Bromley Common and Keston,Bromley,225,"2,601","4,470","7,685",132,0,0,0,0,"15,113",0.0,0.2,0.6,1.5,0.0,0.0,0.0,0.0,0.0,2.3
